iter	Passed	Remaining
0	133	39850
1	134	20060
2	136	13465
3	138	10214
4	139	8259
5	141	6913
6	142	5964
7	143	5248
8	145	4702
9	146	4244
10	147	3875
11	148	3569
12	150	3327
13	151	3104
14	153	2914
15	155	2752
16	156	2600
17	157	2472
18	159	2354
19	161	2257
20	162	2158
21	164	2074
22	165	1998
23	167	1923
24	168	1855
25	169	1790
26	171	1730
27	172	1679
28	174	1629
29	175	1580
30	177	1536
31	178	1492
32	179	1453
33	181	1417
34	182	1380
35	183	1347
36	184	1314
37	186	1285
38	187	1256
39	188	1227
40	189	1199
41	191	1174
42	192	1150
43	194	1129
44	195	1107
45	196	1085
46	197	1065
47	199	1047
48	201	1030
49	202	1012
50	203	995
51	205	979
52	206	963
53	208	948
54	209	933
55	210	917
56	211	903
57	213	889
58	215	878
59	217	871
60	219	858
61	220	846
62	221	834
63	223	824
64	225	813
65	226	802
66	227	791
67	229	782
68	230	772
69	231	762
70	233	751
71	234	742
72	235	733
73	237	725
74	238	716
75	240	707
76	241	699
77	243	691
78	244	683
79	245	675
80	246	667
81	248	659
82	249	652
83	251	645
84	252	638
85	253	630
86	254	623
87	255	616
88	257	609
89	259	604
90	260	598
91	261	591
92	263	585
93	264	579
94	265	573
95	266	567
96	268	560
97	269	554
98	270	548
99	271	543
100	273	538
101	274	532
102	275	527
103	277	522
104	278	517
105	280	512
106	281	507
107	282	502
108	283	497
109	285	492
110	286	488
111	288	483
112	289	478
113	290	473
114	291	468
115	292	463
116	293	459
117	295	455
118	296	450
119	297	445
120	298	441
121	299	436
122	300	432
123	302	429
124	303	425
125	304	420
126	305	416
127	307	412
128	308	408
129	309	404
130	310	401
131	312	397
132	313	393
133	315	390
134	316	386
135	317	383
136	318	379
137	319	375
138	320	371
139	321	367
140	323	364
141	324	361
142	325	357
143	326	354
144	328	350
145	330	348
146	331	344
147	332	341
148	333	337
149	334	334
150	335	331
151	337	328
152	338	325
153	339	321
154	340	318
155	341	315
156	342	312
157	343	309
158	345	306
159	346	303
160	348	300
161	349	297
162	350	294
163	351	291
164	352	288
165	353	285
166	355	282
167	356	279
168	357	276
169	358	274
170	359	271
171	360	268
172	361	265
173	362	262
174	363	259
175	365	257
176	366	254
177	367	251
178	368	249
179	369	246
180	371	243
181	372	241
182	373	238
183	374	236
184	376	233
185	377	231
186	378	228
187	379	226
188	381	223
189	382	221
190	384	219
191	385	216
192	386	214
193	387	211
194	389	209
195	390	207
196	391	204
197	392	202
198	393	199
199	395	197
200	396	195
201	397	192
202	398	190
203	399	188
204	400	185
205	402	183
206	403	181
207	404	178
208	405	176
209	406	174
210	407	171
211	409	169
212	410	167
213	411	165
214	412	163
215	413	160
216	415	158
217	416	156
218	417	154
219	418	152
220	419	150
221	420	147
222	421	145
223	422	143
224	424	141
225	425	139
226	426	137
227	427	135
228	428	132
229	429	130
230	430	128
231	432	126
232	433	124
233	434	122
234	435	120
235	437	118
236	438	116
237	441	114
238	444	113
239	446	111
240	448	109
241	449	107
242	450	105
243	452	103
244	453	101
245	454	99
246	455	97
247	456	95
248	458	93
249	459	91
250	461	90
251	462	88
252	463	86
253	464	84
254	466	82
255	468	80
256	469	78
257	470	76
258	471	74
259	473	72
260	474	70
261	475	69
262	477	67
263	478	65
264	479	63
265	480	61
266	481	59
267	482	57
268	484	55
269	485	53
270	486	52
271	486	50
272	488	48
273	489	46
274	490	44
275	491	42
276	493	40
277	494	39
278	495	37
279	496	35
280	498	33
281	499	31
282	500	30
283	501	28
284	502	26
285	503	24
286	504	22
287	505	21
288	506	19
289	507	17
290	508	15
291	510	13
292	511	12
293	512	10
294	513	8
295	514	6
296	515	5
297	516	3
298	517	1
299	519	0
